Distributor,Record Type,Error Message,Remediation Action,Error Processing Status
Type,,,,
Full,200.0,Employee Code is Null,"The code field was left blank in the data we received, the",Not Reprocessed
Distributor,,,record will need to be resent with the field populated to,
,,,correct the error.,
Full,200.0,Invalid Character in Code,Only alpha/ numerical characters or the following special,Not Reprocessed
Distributor,,,characters are permitted (# _ - / and .); resend the record,
,,,without this/ substituted in the employee code field.,
Full,200.0,Invalid Distributor,The distributor code doesnt match the code we hold in,Not Reprocessed
Distributor,,,TurfView.  The record needs to be resent with a corrected,
,,,code.,
